date,totalconfirmed,dailyconfirmed
7/9/2020,70736,2657
7/10/2020,72347,1611
7/11/2020,74018,1671
7/12/2020,75699,1681
7/13/2020,76981,1282
7/14/2020,78572,1591
7/15/2020,80094,1522
7/16/2020,81668,1574
7/17/2020,83130,1462
7/18/2020,84882,1752
7/19/2020,86521,1639
7/20/2020,88214,1693
7/21/2020,89869,1655
7/22/2020,91751,1882
7/23/2020,93657,1906
7/24/2020,95418,1761
7/25/2020,97286,1868
7/26/2020,98778,1492
7/27/2020,100303,1525
7/28/2020,102051,1748
7/29/2020,104432,2381
7/30/2020,106336,1904
7/31/2020,108376,2040
8/1/2020,109936,1560
8/2/2020,111455,1519
8/3/2020,113134,1679
8/4/2020,115056,1922
8/5/2020,116871,1815
8/6/2020,118753,1882
8/7/2020,121226,2473
8/8/2020,123503,2277
8/9/2020,125396,1893
8/10/2020,127083,1687
8/11/2020,128776,1693
8/12/2020,130718,1942
8/13/2020,132816,2098
8/14/2020,135123,2307
8/15/2020,137468,2345
8/16/2020,139549,2081
8/17/2020,141370,1821
8/18/2020,143043,1673
8/19/2020,144945,1902
8/20/2020,147211,2266
8/21/2020,149408,2197
8/22/2020,151498,2090
8/23/2020,153535,2037
8/24/2020,155412,1877
8/25/2020,157859,2447
8/26/2020,160165,2306
8/27/2020,162884,2719
8/28/2020,165887,3003
8/29/2020,169195,3308
8/30/2020,172053,2858
8/31/2020,174796,2743
9/1/2020,177571,2775
9/2/2020,180646,3075
9/3/2020,184268,3622
9/4/2020,187537,3269
9/5/2020,190665,3128
9/6/2020,194109,3444
9/7/2020,196989,2880
9/8/2020,200035,3046
9/9/2020,203342,3307
9/10/2020,207203,3861
9/11/2020,210940,3737
9/12/2020,214746,3806
9/13/2020,218382,3636
9/14/2020,221523,3141
9/15/2020,225030,3507
9/16/2020,228993,3963
9/17/2020,232628,3635
9/18/2020,236519,3891
9/19/2020,240687,4168
9/20/2020,244676,3989
9/21/2020,248852,4176
9/22/2020,252923,4071
9/23/2020,257388,4465
9/24/2020,262022,4634
9/25/2020,266845,4823
9/26/2020,271339,4494
9/27/2020,275213,3874
9/28/2020,278722,3509
9/29/2020,282724,4002
9/30/2020,287008,4284
10/1/2020,291182,4174
10/2/2020,295499,4317
10/3/2020,299506,4007
10/4/2020,303498,3992
10/5/2020,307120,3622
10/6/2020,311176,4056
10/7/2020,315714,4538
10/8/2020,320564,4850
10/9/2020,324658,4094
10/10/2020,328952,4294
10/11/2020,333449,4497
10/12/2020,336716,3267
10/13/2020,340622,3906
10/14/2020,344749,4127
10/15/2020,349160,4411
10/16/2020,353461,4301
10/17/2020,357762,4301
10/18/2020,361867,4105
10/19/2020,365240,3373
10/20/2020,368842,3602
10/21/2020,373109,4267
10/22/2020,377541,4432
10/23/2020,381910,4369
10/24/2020,385980,4070
10/25/2020,389712,3732
10/26/2020,392934,3222
10/27/2020,396454,3520
10/28/2020,400483,4029
10/29/2020,404048,3565
10/30/2020,406945,2897
10/31/2020,410088,3143
11/1/2020,412784,2696
11/2/2020,415402,2618
11/3/2020,418375,2973
11/4/2020,421731,3356
11/5/2020,425796,4065
11/6/2020,429574,3778
11/7/2020,433836,4262
11/8/2020,437716,3880
11/9/2020,440569,2853
11/10/2020,444348,3779
11/11/2020,448118,3770
11/12/2020,452291,4173
11/13/2020,457735,5444
11/14/2020,463007,5272
11/15/2020,467113,4106
11/16/2020,470648,3535
11/17/2020,474455,3807
11/18/2020,478720,4265
11/19/2020,483518,4798
11/20/2020,488310,4792
11/21/2020,493308,4998
11/22/2020,497668,4360
11/23/2020,502110,4442
11/24/2020,506302,4192
11/25/2020,511836,5534
11/26/2020,516753,4917
11/27/2020,522581,5828
11/28/2020,527999,5418
11/29/2020,534266,6267
11/30/2020,538883,4617
12/1/2020,543975,5092
12/2/2020,549508,5533
12/3/2020,557877,8369
12/4/2020,563680,5803
12/5/2020,569707,6027
12/6/2020,575796,6089
12/7/2020,581550,5754
12/8/2020,586842,5292
12/9/2020,592900,6058
12/10/2020,598933,6033
12/11/2020,605243,6310
12/12/2020,611631,6388
12/13/2020,617820,6189
12/14/2020,623309,5489
12/15/2020,629429,6120
12/16/2020,636154,6725
12/17/2020,643508,7354
12/18/2020,650197,6689
12/19/2020,657948,7751
